sample_idx,t,actual_x,actual_y,pred_x,pred_y,band_lower_x,band_upper_x,band_lower_y,band_upper_y,method,heteroskedasticity
0,0,0.021943573667711602,-0.5047021943573669,0.024475403130054474,-0.487466037273407,-0.08797007274350482,0.13692087900361377,-0.5999115131469663,-0.3750205613998477,CAFHT,easy
0,1,0.01503885367186487,-0.4705051679334957,0.017166510224342346,-0.45232442021369934,-0.09527896564921695,0.12961198609790164,-0.5647698960872587,-0.33987894434014004,CAFHT,easy
0,2,0.008194856294995797,-0.4389570045260823,0.013411648571491241,-0.4194198250770569,-0.09903382730206806,0.12585712444505054,-0.5318653009506161,-0.30697434920349764,CAFHT,easy
0,3,-0.007150915158315522,-0.40459272353303455,0.0019982829689979553,-0.38852494955062866,-0.1063087520109688,0.11030531794896471,-0.4968319845305954,-0.2802179145706619,CAFHT,easy
0,4,-0.005518034055297741,-0.3849505562638006,-0.0025989562273025513,-0.3630954921245575,-0.10666186432311454,0.10146395186850944,-0.4671584002203695,-0.2590325840287455,CAFHT,easy
0,5,-0.020321454605799885,-0.353938325708783,-0.009176809340715408,-0.3359878659248352,-0.10890818108649417,0.09055456240506335,-0.435719237670614,-0.23625649417905645,CAFHT,easy
0,6,-0.02006251033244313,-0.3177382313792069,-0.014159251004457474,-0.3067281246185303,-0.10947167693432447,0.08115317492540952,-0.4020405505483973,-0.21141569868866322,CAFHT,easy
0,7,-0.03370589438373376,-0.2896478977948144,-0.02061530202627182,-0.27825894951820374,-0.11142137267434868,0.07019076862180504,-0.36906502016628057,-0.1874528788701269,CAFHT,easy
0,8,-0.03308848763731296,-0.2271525240717064,-0.0263301320374012,-0.23956996202468872,-0.13214404644217187,0.07948378236736947,-0.34538387642945945,-0.13375604761991805,CAFHT,easy
0,9,-0.03749734021854377,-0.21211401374508793,-0.03188783675432205,-0.20626071095466614,-0.13635516826722488,0.07257949475858076,-0.310728042467569,-0.10179337944176331,CAFHT,easy
0,10,-0.04795848972430085,-0.2224513105543554,-0.03812210634350777,-0.18236759305000305,-0.14121512155916818,0.06497090887215265,-0.2854606082656635,-0.07927457783434261,CAFHT,easy
0,11,-0.041343144754147305,-0.15938871460258078,-0.042857445776462555,-0.14922022819519043,-0.14454841128950602,0.058833519736580915,-0.2509111937082339,-0.04752926268214696,CAFHT,easy
0,12,-0.06747736600260151,-0.13930107527454827,-0.050480879843235016,-0.11853659898042679,-0.15074206224828698,0.049780302561816966,-0.21879778138547876,-0.018275416575374813,CAFHT,easy
0,13,-0.07380570936375462,-0.08455472537550875,-0.059833139181137085,-0.08013519644737244,-0.15744389209762705,0.03777761373535288,-0.1777459493638624,0.017475556469117526,CAFHT,easy
0,14,-0.09979290446305246,-0.08919360084990047,-0.07338505238294601,-0.05003150925040245,-0.16886974125529552,0.022099636489403496,-0.14551619812275196,0.04545317962194706,CAFHT,easy
0,15,-0.039874331086060866,-0.036448015118232265,-0.07757211476564407,-0.014460796490311623,-0.1704432906278422,0.015299061096554038,-0.10733197235250973,0.07841037937188648,CAFHT,easy
0,16,-0.10645557981933013,0.011048153969512324,-0.08525913953781128,0.02612854726612568,-0.1754688959690755,0.004950616893452914,-0.06408120916513851,0.11633830369738987,CAFHT,easy
0,17,-0.09992761367394455,0.004787007981732531,-0.09442678093910217,0.05779074504971504,-0.18192721151864982,-0.00692635035955453,-0.0297096855298326,0.1452911756292627,CAFHT,easy
0,18,-0.09995298974116507,0.05413208158066547,-0.10199674218893051,0.09376423060894012,-0.1867399404959789,-0.017253543881882154,0.009021032301891767,0.1785074289159885,CAFHT,easy
0,19,-0.10031347962382446,0.07836990595611286,,,-0.1867399404959789,-0.017253543881882154,0.009021032301891767,0.1785074289159885,CAFHT,easy
1,0,-0.6018808777429467,-0.19122257053291536,-0.5698112845420837,-0.17937013506889343,-0.7017952078500945,-0.43782736123407295,-0.3113540583769041,-0.047386211760882715,CAFHT,easy
1,1,-0.579740156867437,-0.19035879860124952,-0.549007773399353,-0.1736181080341339,-0.6809916967073638,-0.4170238500913423,-0.3056020313421446,-0.041634184726123194,CAFHT,easy
1,2,-0.5521751487926919,-0.19211757155488354,-0.5278322100639343,-0.16214826703071594,-0.6598161333719451,-0.3958482867559236,-0.2941321903387266,-0.030164343722705225,CAFHT,easy
1,3,-0.5272306711610107,-0.1927523982145642,-0.5027714371681213,-0.16394707560539246,-0.6315158354908792,-0.3740270388453635,-0.2926914739281503,-0.03520267728263457,CAFHT,easy
1,4,-0.49119620002853104,-0.19721371573293306,-0.47322529554367065,-0.16089758276939392,-0.5986474390764448,-0.3478031520108965,-0.286319726302168,-0.035475439236619846,CAFHT,easy
1,5,-0.45947190529849646,-0.17691072974656308,-0.4409567713737488,-0.14929035305976868,-0.5629882369697692,-0.3189253057777284,-0.271321818655789,-0.027258887463748327,CAFHT,easy
1,6,-0.4324760448120214,-0.1839791847960359,-0.40949058532714844,-0.14972195029258728,-0.5280629498396451,-0.2909182208146518,-0.2682943148050839,-0.03114958578009061,CAFHT,easy
1,7,-0.4121658767014809,-0.17220470259899248,-0.3794131278991699,-0.1409585177898407,-0.4944579681813731,-0.26436828761696674,-0.25600335807204383,-0.02591367750763756,CAFHT,easy
1,8,-0.37919017547883255,-0.15781979193458054,-0.34935539960861206,-0.13370469212532043,-0.46080429251375166,-0.23790650670347246,-0.24515358503046003,-0.02225579922018084,CAFHT,easy
1,9,-0.38446271010479927,-0.15361016836961805,-0.32746797800064087,-0.12750506401062012,-0.435252500381947,-0.21968345561933472,-0.23528958639192626,-0.019720541629313977,CAFHT,easy
1,10,-0.302889217052762,-0.18086898862339434,-0.29816755652427673,-0.13129600882530212,-0.4052432239328008,-0.19109188911575264,-0.2383716762338262,-0.02422034141677802,CAFHT,easy
1,11,-0.2834540836140177,-0.15277293230594546,-0.2665764391422272,-0.12472926825284958,-0.370757553927995,-0.16239532435645937,-0.2289103830386174,-0.020548153467081755,CAFHT,easy
1,12,-0.2657779090515781,-0.13158552717716154,-0.23736365139484406,-0.11697236448526382,-0.3411258390535849,-0.13360146373610318,-0.22073455214400467,-0.013210176826522979,CAFHT,easy
