domain,experiment_id,file_path,method,shift_condition,dgp_or_dataset,n_train,n_cal,n_test,T,alpha,n_seeds,seed,overall_coverage,coverage_std_pooled,coverage_se,mean_width,width_std_pooled,early_coverage_mean,late_coverage_mean,coverage_degradation,time_resolved_metrics,aci_stepsize,covariate_mode,with_shift,mixed,notes
finance,healthcare_shift,results/finance/json/finance_healthcare_shift.json,Weighted CAFHT (LR + ACI),shift_weighted,S&P 500 Healthcare · 2024-02-02→2024-03-28,206,205,58,40,0.1,1,42,0.9076038903625111,,,0.04405751524713395,,,,,coverage_by_time;width_by_time;gamma_opt_history;dates,,,True,False,missing clf_prob1_mean_by_time
finance,healthcare_shift_20240201_20240328,results/finance/json/finance_healthcare_shift_20240201_20240328.json,Weighted CAFHT (LR + ACI),shift_weighted,S&P 500 Healthcare · 2024-02-02→2024-03-28,206,205,58,40,0.1,1,42,0.9071618037135278,,,0.04401673071052622,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,healthcare_shift_20240701_20240830,results/finance/json/finance_healthcare_shift_20240701_20240830.json,Weighted CAFHT (LR + ACI),shift_weighted,S&P 500 Healthcare · 2024-07-02→2024-08-30,206,205,58,44,0.1,1,42,0.9053728949478749,,,0.05049285822739991,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,mixed_noweighting,results/finance/json/finance_mixed_noweighting.json,"AdaptedCAFHT (mixed-sector null, uniform weights + ACI)",mixed_null_unweighted,S&P 500 Mixed (all sectors) · 2024-02-02→2024-03-28,200,199,70,40,0.1,1,42,0.9106227106227106,,,0.04132163849731273,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,False,True,
finance,mixed_withweighting,results/finance/json/finance_mixed_withweighting.json,"Weighted CAFHT (mixed-sector null, LR active)",mixed_null_weighted,S&P 500 Mixed (all sectors) · 2024-02-02→2024-03-28,200,199,70,40,0.1,1,42,0.910989010989011,,,0.04136234804046867,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,True,
finance,tech_LRonly_20240102_20240229,results/finance/json/finance_tech_LRonly_20240102_20240229.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Technology · 2024-01-03→2024-02-29,200,199,72,41,0.1,1,42,0.8989583333333333,,,0.04326900865490981,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_LRonly_20240201_20240328,results/finance/json/finance_tech_LRonly_20240201_20240328.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Technology · 2024-02-02→2024-03-28,199,198,72,40,0.1,1,42,0.8828347578347578,,,0.04450479002845154,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_LRonly_20240301_20240430,results/finance/json/finance_tech_LRonly_20240301_20240430.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Technology · 2024-03-04→2024-04-30,199,198,72,42,0.1,1,42,0.8655149051490515,,,0.04476710369472914,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_LRonly_20240401_20240531,results/finance/json/finance_tech_LRonly_20240401_20240531.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Technology · 2024-04-02→2024-05-31,198,198,72,44,0.1,1,42,0.8649870801033591,,,0.04345131600006397,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_LRonly_20240501_20240628,results/finance/json/finance_tech_LRonly_20240501_20240628.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Technology · 2024-05-02→2024-06-28,199,198,72,41,0.1,1,42,0.8815972222222223,,,0.04470232709159543,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
